,createdAt,tweetText,polarity,sentiment
116,2022-11-29 16:41:59+00:00,_pop _paulangel good thing youre arguing smart person still shot believe vaccine cause covid test,0.45714285714285713,Positive
117,2022-11-29 16:41:54+00:00,want rid military vaccines protect protect us see problem covid vaccines another tool tool box vaccine next military members may need respond moments notice dont like dont join get,-0.06666666666666667,Negative
118,2022-11-29 16:41:49+00:00,_truther _ anti vaxxers dont deny covid wrong questioning safety vaccine also vaccine doesnt mean get covid documented fact,-0.40625,Negative
119,2022-11-29 16:41:47+00:00,guinea pigs experimental covid vaccine long term safety testing made mandatory,0.025,Positive
120,2022-11-29 16:41:45+00:00,covid vaccine killing people across planet,0.0,Neutral
122,2022-11-29 16:41:41+00:00,_ab smoking gun trudeau liberals dead wrong covid19 vaccine assumptions policy knew,-0.35,Negative
124,2022-11-29 16:41:26+00:00,dangerous side effects including myocarditis pericarditis listed covid19 vaccine consent form,-0.6,Negative
125,2022-11-29 16:41:26+00:00,vosd intern turned fulltime education reporter also rocking beat internship produced stellar story local church become central hub local conservative organizing,0.0625,Positive
126,2022-11-29 16:41:23+00:00,colleagues especially spent countless hours poring covid death records reveal important takeaways literally went court could tell stories,0.06666666666666667,Positive
127,2022-11-29 16:41:13+00:00,feb 2021 priority groupsfrontline workers look age group graph 1544yo,0.0,Neutral
129,2022-11-29 16:41:02+00:00,website people infected covid19 virus experience mild moderate respiratory illness recover without requiring special treatment lockdowns necessary everyone vaccine,0.17261904761904762,Positive
131,2022-11-29 16:40:45+00:00,behalf er amp health care providers vaccine researchers public health workers epidemiologists healt,0.0,Neutral
132,2022-11-29 16:40:42+00:00,todays vaccine clinic cancelled due inclement weather amp staffing issues hosting additional co,-0.125,Negative
135,2022-11-29 16:40:21+00:00,love yellowstone county covid death recognized individually 50 years age make sure,0.3333333333333333,Positive
136,2022-11-29 16:40:21+00:00,behalf er amp health care providers vaccine researchers public health workers epidemiologists health reporters people gotten sick lost loved ones covid aaaaaaaaaaaahhhhhhhhhhhh reckless dangerous monster,-0.15357142857142858,Negative
138,2022-11-29 16:40:09+00:00,thanks sharing story hope one day soon able put behind however vaxxfree never get another vaccine life made fool covid fiasco lied,0.09999999999999998,Positive
139,2022-11-29 16:40:09+00:00,wasnt case vaccines prevent hospitalisation across board death least uk deaths covid 19 96 lower received second vaccine,-0.15,Negative
140,2022-11-29 16:39:52+00:00,new npr analysis reveals protrump counties higher death rate covid19 counties voted joe bid,0.19318181818181818,Positive
141,2022-11-29 16:39:48+00:00,reported physicians nhs leadership got information vaccine bbc,0.0,Neutral
143,2022-11-29 16:39:47+00:00,welcome land twitter knows best leading ceo healthdata va,0.9,Positive
144,2022-11-29 16:39:41+00:00,important reality check cbdcs evil covid scam money isnt real obesity isnt beautiful,0.1125,Positive
147,2022-11-29 16:39:31+00:00,baker administration still divulge people working state government losing,0.0,Neutral
148,2022-11-29 16:39:11+00:00,gotten updated covid booster shot vaccine updated original better protect newer,0.4375,Positive
149,2022-11-30 08:30:00+00:00,mea covid culpa seems sceptics vaccine killing people,0.0,Neutral
150,2022-11-30 08:29:57+00:00,covid vaccine effectiveness countdown sound,0.4,Positive
152,2022-11-30 08:29:44+00:00,new zealand blood service states covid19 vaccine blood broken soon injection,-0.13181818181818183,Negative
154,2022-11-30 08:29:39+00:00,doctors say unexplained death elderly longford woman could linked covid19 vaccine,-0.05,Negative
156,2022-11-30 08:29:36+00:00,va isnt done working magic lets see die covid reason covid deaths states die within 14 days poke never considered vaccine death deserve questioned,0.5,Positive
159,2022-11-30 08:32:51+00:00,mandating vaccine doesnt prevent infection transmission vaccine dangerous tha,-0.6,Negative
160,2022-11-30 08:32:49+00:00,within 2 days vaccine gone body amp left antibodies body creates fight covid like someone caught covid maybe parents need narrow requirements blood doesnt come vaccinated anyone covid,-0.1,Negative
163,2022-11-30 08:32:33+00:00,going tell story tell entire story brad also protesting tr,0.0,Neutral
165,2022-11-30 08:33:27+00:00,breaking cdc quietly confirms least 118k children amp young adults died suddenly usa since rollout,-0.049999999999999996,Negative
169,2022-11-30 08:33:20+00:00,pulled enormous marketing budget pulled covidmisinformation community guidelines,0.0,Neutral
173,2022-11-30 08:38:26+00:00,awkward biden support covid protestors china theres nothing happening china right,-0.15714285714285714,Negative
176,2022-11-30 08:38:22+00:00,facebook big trouble discovered facebook covid vaccine factcheckers funded va,-0.1,Negative
178,2022-11-30 08:38:15+00:00,exclusive ahead health select committee hearing exvaccine tsar slams uk losing covid leadership eu,0.0,Neutral
180,2022-11-30 08:38:11+00:00,feels good able freely tell world covid vaccine dogshit without banned,0.5333333333333333,Positive
181,2022-11-30 08:38:07+00:00,think covid vaccine helps covid anyway youre stupid af,-0.7999999999999999,Negative
186,2022-11-30 09:26:58+00:00,_lindi _mom perhaps look website type covid1,0.0,Neutral
190,2022-11-30 09:26:53+00:00,government liable compensate covid vaccine deaths centre sc https,-0.1,Negative
191,2022-11-30 09:26:48+00:00,vaccine doesnt prevent covid doesnt stop transmission get covid could still fatalso,0.0,Neutral
193,2022-11-30 09:26:39+00:00,bangkok ramped free vaccine drive response surge covid19 infections thailand logged 700 new c,0.2681818181818182,Positive
195,2022-11-30 09:28:50+00:00,covid vaccine contain sarscov2 virus damage usual delay medical treatment including vaccines due lack funding,-0.125,Negative
196,2022-11-30 09:28:49+00:00,_arminius canadians australians demonstrated vaccine pass western media politicians labeled ex,0.0,Neutral
201,2022-11-30 09:28:34+00:00,pandemic quadruple vaccinated soldout media never report nsw governments data shows,0.0,Neutral
202,2022-11-30 09:28:33+00:00,hospitals full quadruple vaccinated abc never report nsw govts data shows tha,0.35,Positive
203,2022-11-30 09:28:31+00:00,imagine fully vaccinated go cruise holiday get covid isolate 5 days cabin safe ef,0.5,Positive
210,2022-11-30 10:53:39+00:00,naturopath sold fake vaccine cards sentenced nearly 3 years prison,-0.2,Negative
213,2022-11-30 10:54:52+00:00,_roos breaking covid hearing director admits never tested preventing transmission get vaccinate,0.0,Neutral
216,2022-11-30 10:54:45+00:00,first deaths due oxygen shortage aid covid victims accountability vaccinerelated deaths p,0.0625,Positive
220,2022-11-30 10:54:25+00:00,vaccine doses administered dec 1 7 15984 centres across country drive,0.0,Neutral
221,2022-11-30 10:58:03+00:00,sure like trumps vaccine tho killing people ineffective weak covid,0.0625,Positive
227,2022-11-30 10:57:54+00:00,fired hospital job receiving covid19 vaccine religious reasons suing former employ,0.0,Neutral
228,2022-11-30 10:57:53+00:00,may come across viral news item nobel laureate luc montagnier purported scientist claimed whosoever took covid19 vaccine die 2 years come across mark safe fake news,0.0,Neutral
229,2022-11-30 10:57:50+00:00,dont need vaccine fight covid part,0.0,Neutral
231,2022-11-30 10:59:02+00:00,covid19 flu spread quickly winter cause serious illness youre aged 50 risk group,-0.03333333333333333,Negative
233,2022-11-30 10:58:50+00:00,would want covid endemic relatively harmless population vaccine increased excess allcauseexceptcovid deaths across agegroups 60 immunity however acquired always way,0.0,Neutral
234,2022-11-30 10:58:46+00:00,detailed descriptive analysis focused neurological features covid vaccine injury authors post,0.4,Positive
239,2022-11-30 11:00:01+00:00,heres look latest numbers behind global outreach according sold 1852b doses 0m donated 328m doses 0m delivered 1653b doses 3m check website,0.033333333333333326,Positive
240,2022-11-30 10:59:57+00:00,recently went one top heart doctors norway checkup heart palpitations first thing asked w,0.25,Positive
241,2022-11-30 10:59:54+00:00,_r_nought _audette,0.0,Neutral
248,2022-11-30 10:59:35+00:00,reality check men women equal fat beautiful scientists paid lie vaccine n,0.425,Positive
256,2022-11-30 11:01:46+00:00,manchester dont let two get way keep manchester moving winter free covid19 autumn booster annual flu vaccine find youre eligible book today,0.4,Positive
257,2022-11-30 11:01:42+00:00,heres roundup places get covid vaccine week,0.0,Neutral
263,2022-11-30 11:02:56+00:00,huge demand lecture thousand attended live big pharma hijacked evidence based medicin,0.1787878787878788,Positive
270,2022-11-30 11:03:38+00:00,legitimate bio weapons,0.0,Neutral
276,2022-11-30 11:03:09+00:00,shocking true,-0.325,Negative
280,2022-11-30 11:04:17+00:00,dont miss latest executive insights episode association _ireland covid19 vaccine rollout changed goals future,0.25,Positive
282,2022-11-30 11:04:16+00:00,twitter ended covid misinformation policies remind proved back april 2020 vaccine,0.0,Neutral
288,2022-11-30 11:05:11+00:00,nhs mobile covid19 vaccination service jubilee campus today get covid19 vaccine overseas vaccine validated get questions answered,0.0,Neutral
290,2022-11-30 11:05:07+00:00,breaking covid hearing director admits never tested preventing transmission get vaccina,0.0,Neutral
292,2022-11-30 11:04:41+00:00,counts many 70 patients heart conditions tied vaccine,0.5,Positive
